d;h;l;c;o;v
2003-01-03;521,67;515,36;519,75;516,83;203226120
2003-01-07;525,55;512,86;518,66;521,74;296619970
2003-01-08;515,84;501,0;504,78;515,84;246027465
2003-01-09;508,83;494,41;508,27;503,72;263597466
2003-01-10;516,66;506,7;514,67;507,94;386018505
2003-01-13;526,28;517,08;519,11;518,31;364166992
2003-01-14;528,77;521,73;526,01;521,73;468480320
2003-01-15;530,71;519,26;521,32;528,61;453885879
2003-01-16;522,39;513,65;521,44;519,7;282856984
2003-01-17;519,51;508,47;509,61;519,51;323682889
2003-01-20;517,41;509,23;515,77;509,91;278405771
2003-01-21;520,01;507,09;508,64;517,85;307239101
2003-01-22;510,84;498,55;500,38;509,18;294502121
2003-01-23;507,46;495,94;497,97;502,94;410502054
2003-01-24;503,02;493,06;494,18;497,97;375862528
2003-01-27;489,24;474,93;475,65;489,24;311753429
2003-01-28;480,77;467,72;469,16;476,59;276471278
2003-01-29;471,55;462,87;466,82;467,25;359879482
2003-01-30;480,46;469,49;479,68;469,49;333551279
2003-01-31;477,92;469,97;477,8;476,05;301252135
2003-02-03;484,69;474,86;481,8;476,72;706139847
2003-02-04;479,1;463,81;464,0;479,1;470989952
2003-02-05;476,44;460,54;476,34;462,32;343775216
2003-02-06;481,08;470,37;474,25;477,77;1097218323
2003-02-07;476,2;465,59;466,97;473,78;360841001
2003-02-10;465,84;456,53;456,53;464,6;224388430
2003-02-11;472,7;460,71;469,07;460,71;239838667
2003-02-12;474,36;466,01;473,17;468,23;156626703
2003-02-13;480,73;470,43;474,3;470,45;294750224
2003-02-14;483,25;472,28;479,38;476,59;230092713
2003-02-17;494,87;483,36;493,91;483,36;238669699
2003-02-18;501,47;487,82;499,17;491,89;262352006
2003-02-19;500,84;489,18;491,29;499,11;268905720
2003-02-20;490,47;479,17;479,98;489,27;270836864
2003-02-21;480,32;472,34;478,19;478,11;205023226
2003-02-24;482,52;473,16;474,47;478,96;190347612
2003-02-25;471,08;458,41;461,46;471,08;277684575
2003-02-26;466,72;457,34;459,1;463,98;236276475
2003-02-27;466,32;451,11;464,0;459,48;237765241
2003-02-28;470,35;459,42;469,97;463,6;205080298
2003-03-03;475,78;469,21;471,43;472,52;155834175
2003-03-04;469,21;461,62;463,13;469,21;153775991
2003-03-05;462,81;456,63;459,64;462,81;200330725
2003-03-06;461,97;455,41;457,71;459,64;165006102
2003-03-07;456,9;446,53;452,03;456,9;193541888
2003-03-10;452,41;444,13;446,0;452,03;138163815
2003-03-11;445,66;435,4;440,82;445,66;412476217
2003-03-12;441,87;430,33;432,36;440,82;381550500
2003-03-13;461,58;452,53;459,09;452,53;308494604
2003-03-14;465,93;452,53;465,77;452,53;374378057
2003-03-17;488,3;453,92;484,0;465,77;402194655
2003-03-18;499,2;483,04;485,22;484,0;565490731
2003-03-19;496,47;481,92;490,4;485,22;309002678
2003-03-20;500,12;486,55;494,14;490,4;379041572
2003-03-21;506,03;494,73;503,4;494,73;252810283
2003-03-24;502,07;488,06;489,38;502,07;287774055
2003-03-25;490,13;478,52;489,3;489,38;281693802
2003-03-26;493,9;485,7;486,82;488,87;239045000
2003-03-27;486,49;474,72;478,9;486,49;191025443
2003-03-28;478,73;470,79;475,39;478,73;191085475
2003-03-31;472,95;454,6;457,78;472,95;224829735
2003-04-01;464,04;453,38;461,69;457,78;206875846
2003-04-02;482,48;462,69;480,45;462,69;204269701
2003-04-03;486,46;477,41;480,86;480,45;211735518
2003-04-04;488,8;474,9;482,89;480,86;247608742
2003-04-07;505,88;485,87;503,0;485,87;298775467
2003-04-08;501,63;491,65;493,71;501,63;304322470
2003-04-09;497,48;486,01;492,43;493,71;246085075
2003-04-10;491,17;481,26;483,12;491,17;280175674
2003-04-11;489,59;481,61;483,48;483,12;405954520
2003-04-14;487,71;478,61;483,87;483,48;237281003
2003-04-15;496,96;484,94;495,6;484,94;275096218
2003-04-16;503,3;493,89;493,93;495,6;288235978
2003-04-17;496,37;488,32;495,59;493,38;260815020
2003-04-22;500,17;492,49;497,98;495,59;184269802
2003-04-23;508,41;499,09;503,67;499,09;248984206
2003-04-24;510,16;502,41;503,47;503,67;270110955
2003-04-25;503,94;496,85;497,92;503,47;259686954
2003-04-28;514,91;495,59;513,59;497,27;262793083
2003-04-29;527,27;518,02;521,49;518,02;1446143859
2003-04-30;523,57;517,95;521,92;521,49;408671474
2003-05-02;522,64;512,82;519,29;514,84;310636562
2003-05-05;529,02;520,33;524,3;520,33;352351819
2003-05-06;525,87;519,49;525,78;524,3;357152060
2003-05-07;525,52;513,35;515,33;525,52;391527682
2003-05-08;519,87;506,04;506,19;515,33;449362838
2003-05-09;513,44;500,28;513,44;506,19;314208120
2003-05-12;517,47;510,74;515,81;515,81;222827877
2003-05-13;524,3;514,84;524,0;515,81;322835572
2003-05-14;526,21;519,35;519,78;524,0;308396581
2003-05-15;521,52;516,98;520,01;519,78;251569065
2003-05-16;526,1;516,59;518,45;520,01;374370127
2003-05-19;515,52;503,61;504,75;504,75;337299697
2003-05-20;504,61;497,61;499,48;504,61;407755571
2003-05-21;500,1;490,19;492,31;499,48;397211460
2003-05-22;499,34;492,74;497,34;492,74;252915150
2003-05-23;501,89;494,13;498,95;497,34;289608938
2003-05-26;500,36;494,49;495,55;498,95;100688273
2003-05-27;502,35;491,97;502,35;495,55;245840273
2003-05-28;513,97;503,53;512,94;503,53;234242275
2003-05-30;517,5;508,13;514,46;514,46;295506196
2003-06-02;522,05;516,05;518,52;516,05;293794462
