d;h;l;c;o;v
2007-10-26;1181,42;1157,97;1173,31;1172,48;403214314
2007-10-29;1183,87;1172,61;1176,62;1173,31;224282592
2007-10-30;1175,8;1164,1;1170,35;1175,8;228295895
2007-10-31;1183,95;1162,87;1183,2;1170,35;256165760
2007-11-01;1187,42;1156,6;1168,49;1183,2;237177185
2007-11-02;1167,51;1148,13;1153,22;1167,51;122329916
2007-11-05;1159,15;1143,66;1157,55;1153,22;214863296
2007-11-06;1171,86;1159,83;1163,21;1159,83;238736717
2007-11-07;1171,22;1143,2;1150,38;1163,21;199493339
2007-11-08;1151,7;1128,82;1145,49;1150,38;282166081
2007-11-09;1152,84;1111,55;1115,09;1145,49;258047137
2007-11-12;1129,57;1103,37;1126,0;1115,09;209552635
2007-11-13;1125,85;1104,97;1120,29;1125,85;247162934
2007-11-14;1138,93;1107,61;1121,57;1120,29;273154178
2007-11-15;1125,11;1094,19;1102,59;1121,57;271364674
2007-11-16;1103,24;1087,23;1096,69;1102,59;247639549
2007-11-19;1106,52;1058,77;1065,74;1096,69;257096601
2007-11-20;1093,14;1051,69;1076,95;1065,74;441781014
2007-11-21;1073,3;1051,03;1059,08;1073,3;712277304
2007-11-22;1071,69;1050,31;1053,64;1059,08;328008385
2007-11-23;1063,89;1052,57;1055,93;1053,64;208861106
2007-11-26;1084,97;1057,03;1062,65;1057,03;237016493
2007-11-27;1069,11;1046,48;1058,63;1062,65;269052635
2007-11-28;1095,08;1051,51;1094,36;1058,63;270907590
2007-11-29;1105,09;1089,46;1099,11;1094,36;254292796
2007-11-30;1112,4;1098,14;1106,71;1099,11;288928216
2007-12-03;1112,11;1098,58;1102,39;1106,71;186514275
2007-12-04;1104,2;1076,3;1081,22;1102,39;240836777
2007-12-05;1103,64;1079,93;1101,87;1081,22;292703167
2007-12-06;1123,01;1095,06;1105,23;1101,87;255231380
2007-12-07;1120,86;1105,84;1119,7;1105,84;168699505
2007-12-10;1136,82;1114,05;1130,9;1119,7;172171162
2007-12-11;1136,59;1120,45;1131,58;1130,9;188151698
2007-12-12;1137,09;1111,52;1129,88;1131,58;246444687
2007-12-13;1129,76;1099,02;1102,12;1129,76;205260999
2007-12-14;1110,34;1087,3;1097,69;1102,12;173208815
2007-12-17;1096,1;1067,03;1067,85;1096,1;205605353
2007-12-18;1079,19;1059,78;1064,62;1067,85;240930594
2007-12-19;1072,36;1058,39;1064,47;1064,62;251611647
2007-12-20;1074,84;1059,52;1059,99;1064,47;186816962
2007-12-21;1081,15;1061,57;1078,93;1061,57;206858101
2007-12-27;1088,08;1073,14;1073,66;1078,93;140949626
2007-12-28;1083,43;1067,82;1081,44;1073,66;185532262
2008-01-02;1081,69;1056,33;1058,37;1081,44;142528172
2008-01-03;1061,99;1038,9;1050,61;1058,37;230666528
2008-01-04;1051,63;1012,58;1014,63;1050,61;272475859
2008-01-07;1024,52;999,8;1011,49;1014,63;281948536
2008-01-08;1035,8;1009,32;1024,42;1011,49;280055421
2008-01-09;1023,56;998,67;1003,69;1023,56;284101334
2008-01-10;1015,32;982,23;989,7;1003,69;282689216
2008-01-11;996,05;980,25;987,94;989,7;310106158
2008-01-14;1011,03;984,47;1008,0;987,94;262119149
2008-01-15;1008,24;967,12;972,15;1008,0;299772197
2008-01-16;987,11;951,88;965,63;972,15;394618057
2008-01-17;986,8;961,5;966,29;965,63;321014414
2008-01-18;982,56;953,01;957,63;966,29;291950203
2008-01-21;957,24;912,93;917,75;957,24;399050493
2008-01-22;959,3;874,79;955,93;917,75;535273801
2008-01-23;967,66;914,43;921,28;955,93;396444274
2008-01-24;967,63;923,7;958,55;923,7;352652478
2008-01-25;977,93;956,44;961,69;958,55;281321340
2008-01-28;960,22;933,92;949,08;960,22;209756036
2008-01-29;959,71;949,09;956,97;949,09;236677945
2008-01-30;957,94;944,73;951,14;956,97;223340044
2008-01-31;952,28;931,16;949,04;951,14;318687261
2008-02-01;983,77;947,21;976,43;949,04;520754587
2008-02-04;988,3;974,83;976,46;976,43;305945536
2008-02-05;979,11;941,24;945,63;976,46;331726048
2008-02-06;951,87;934,27;951,84;945,63;288729738
2008-02-07;951,7;923,16;925,87;951,7;313092926
2008-02-08;933,29;907,5;920,76;925,87;379143768
2008-02-11;920,57;904,23;911,39;920,57;231107019
2008-02-12;946,85;906,87;945,41;911,39;327305556
2008-02-13;950,64;922,45;949,05;945,41;293741375
2008-02-14;967,97;946,94;950,84;949,05;288101981
2008-02-15;957,51;935,03;938,79;950,84;238131907
2008-02-18;964,45;938,73;962,13;938,79;160930268
2008-02-19;977,9;953,52;967,42;962,13;263629343
2008-02-20;966,63;948,02;954,53;966,63;254404456
2008-02-21;972,41;955,02;959,79;955,02;234770973
2008-02-22;959,12;939,51;944,13;959,12;265201323
2008-02-25;963,58;944,98;961,88;944,98;204978061
2008-02-26;982,95;962,43;980,1;962,43;256738235
2008-02-27;986,3;969,53;986,3;980,1;247838144
2008-02-28;988,77;970,84;971,08;986,3;221778508
2008-02-29;972,58;955,79;965,29;971,08;253891344
2008-03-03;964,26;940,92;954,22;964,26;214790207
2008-03-04;962,38;925,26;931,71;954,22;282931107
2008-03-05;954,44;932,32;950,25;932,32;257917450
2008-03-06;952,19;935,66;938,07;950,25;217341196
2008-03-07;936,36;916,53;925,54;936,36;251409419
2008-03-10;925,51;905,04;914,68;925,51;228554189
2008-03-11;936,8;906,71;929,63;914,68;285191850
2008-03-12;951,9;930,42;947,79;930,42;297802262
2008-03-13;946,32;919,22;936,52;946,32;257099123
2008-03-14;950,3;919,66;924,22;936,52;217788727
2008-03-18;917,51;887,17;914,55;887,17;325266239
2008-03-19;925,79;896,2;905,64;914,55;490251728
2008-03-20;905,7;893,38;894,78;905,64;200224335
2008-03-25;935,16;897,83;932,09;897,83;272136718
2008-03-26;934,32;923,93;931,87;932,09;288366402
2008-03-27;954,3;930,54;952,99;931,87;248672217
2008-03-28;953,61;945,82;951,71;952,99;209592526
2008-03-31;952,87;932,45;952,13;951,71;222191194
2008-04-01;984,75;946,47;981,23;952,13;279368431
2008-04-02;998,63;979,77;996,91;981,23;296551659
2008-04-03;999,51;982,74;987,5;996,91;236073175
2008-04-04;987,68;975,73;979,57;987,5;204493635
2008-04-07;995,14;980,18;993,34;980,18;455538446
2008-04-08;992,42;972,64;981,09;992,42;236361800
2008-04-09;984,01;968,81;978,5;981,09;268135273
2008-04-10;975,5;951,37;969,89;975,5;309389784
2008-04-11;975,41;949,34;956,52;969,89;218512980
2008-04-14;955,47;940,89;948,4;955,47;187392402
2008-04-15;956,34;943,07;950,19;948,4;181402487
2008-04-16;978,11;951,36;978,03;951,36;387194344
2008-04-17;980,68;958,36;963,79;978,03;310074037
2008-04-18;987,44;964,03;981,44;964,03;244986391
2008-04-21;989,6;965,13;969,19;981,44;204072328
2008-04-22;973,57;961,78;962,35;969,19;249833544
2008-04-23;976,54;958,35;976,52;962,35;265010267
2008-04-24;980,29;956,12;966,99;976,52;315767093
2008-04-25;1003,56;982,09;998,83;982,09;1017855583
2008-04-28;1011,29;999,9;1005,31;999,9;257200595
2008-04-29;1006,46;987,08;990,72;1005,31;270831085
2008-04-30;991,9;983,16;986,06;990,72;180417076
2008-05-02;1012,85;984,34;1008,2;986,06;471369044
2008-05-05;1010,0;999,0;1009,33;1008,2;180883357
2008-05-06;1012,6;994,88;1006,73;1009,33;223287525
2008-05-07;1024,07;1006,55;1020,05;1006,73;273859960
2008-05-08;1019,67;1009,63;1019,67;1019,67;238952057
2008-05-09;1019,42;999,04;1003,51;1019,42;211168071
2008-05-12;1008,58;999,91;1008,3;1003,51;134853426
2008-05-13;1016,28;999,63;1011,86;1008,3;232955511
2008-05-14;1016,6;998,97;1012,86;1011,86;241445910
2008-05-15;1019,35;1001,67;1018,13;1012,86;349428004
2008-05-16;1030,51;1018,74;1023,18;1018,74;232770638
2008-05-19;1036,86;1023,37;1036,86;1023,37;214457526
2008-05-20;1036,24;1010,75;1011,62;1036,24;215662879
2008-05-21;1015,75;1001,7;1004,36;1011,62;248387091
2008-05-22;1018,85;992,07;1017,2;1004,36;264480006
2008-05-23;1016,96;994,23;994,23;1016,96;191579548
2008-05-26;1000,41;993,91;997,56;994,23;66059461
2008-05-27;1003,33;980,66;993,0;997,56;229928995
2008-05-28;1007,88;985,64;1002,83;993,0;230983312
2008-05-29;1005,54;992,21;1001,83;1002,83;214142789
2008-05-30;1010,1;1001,85;1004,9;1001,85;211306624
2008-06-02;1003,22;989,82;995,59;1003,22;92045425
2008-06-03;1000,16;992,75;997,86;995,59;75546708
2008-06-04;997,7;976,29;983,51;997,7;146150181
2008-06-05;992,12;979,14;981,15;983,51;205137548
2008-06-06;981,15;981,15;981,15;981,15;183235674
2008-06-09;978,2;955,16;957,83;978,2;183235674
2008-06-10;957,93;944,27;951,47;957,83;160074665
2008-06-11;958,74;930,3;934,86;951,47;166263880
2008-06-12;948,42;931,68;947,47;934,86;145822382
2008-06-13;949,01;932,54;947,58;947,47;124539025
2008-06-16;954,33;939,87;947,49;947,58;108670843
2008-06-17;960,7;948,36;956,9;948,36;113198310
2008-06-18;962,66;938,28;941,62;956,9;147883129
2008-06-19;942,71;931,46;932,82;941,62;185643415
2008-06-23;933,22;913,98;914,4;932,82;146378699
2008-06-24;920,25;887,11;897,72;914,4;192223305
2008-06-25;911,97;897,35;910,64;897,72;146520530
2008-06-26;910,4;877,64;880,56;910,4;174013679
2008-06-27;882,95;855,54;862,65;880,56;212867096
2008-06-30;864,94;841,35;857,65;862,65;254532221
2008-07-01;860,03;832,77;841,07;857,65;185000327
2008-07-02;861,12;841,93;849,5;841,93;170415154
2008-07-03;853,84;824,71;851,58;849,5;183463737
2008-07-04;854,38;836,27;839,92;851,58;88013569
2008-07-07;853,56;838,01;853,14;839,92;94085943
2008-07-08;852,27;828,33;836,38;852,27;135789316
2008-07-09;856,36;837,49;851,44;837,49;106364095
2008-07-10;850,33;832,08;833,58;850,33;126525724
2008-07-11;840,62;811,75;813,6;833,58;123931630
2008-07-14;835,74;814,59;826,59;814,59;106103505
2008-07-15;825,48;800,99;814,99;825,48;177195725
2008-07-16;830,1;806,97;826,83;814,99;160916035
2008-07-17;863,88;828,55;858,4;828,55;222052129
2008-07-18;883,32;852,42;881,02;858,4;195675132
2008-07-21;888,55;865,23;886,62;881,02;172675150
2008-07-22;882,06;850,96;863,47;882,06;189943301
2008-07-23;887,46;864,51;880,57;864,51;148458242
2008-07-24;884,94;855,61;857,33;880,57;163465151
2008-07-25;864,74;840,8;858,29;857,33;138338388
2008-07-28;859,43;848,63;850,31;858,29;78231432
2008-07-29;854,73;833,67;851,63;850,31;120562903
2008-07-30;870,11;852,37;865,95;852,37;110768127
2008-07-31;872,08;858,03;867,44;865,95;106697634
2008-08-01;866,7;852,34;854,68;866,7;86019708
2008-08-04;860,98;845,94;847,15;854,68;79752283
2008-08-05;877,96;847,15;876,59;847,15;136676068
2008-08-06;889,98;877,33;886,52;877,33;148902790
2008-08-07;896,4;876,37;881,35;886,52;135023352
2008-08-08;885,03;867,18;885,01;881,35;108038388
2008-08-11;901,46;885,25;900,26;885,25;126787951
2008-08-12;903,07;890,98;894,0;900,26;141932200
2008-08-13;894,24;866,03;868,81;894,0;135521705
2008-08-14;877,97;864,66;874,73;868,81;122334093
2008-08-15;881,94;869,35;873,33;874,73;115308575
2008-08-18;881,56;869,37;875,27;873,33;113758345
2008-08-19;873,67;837,94;838,0;873,67;149333813
2008-08-20;846,61;832,86;842,44;838,0;144983198
2008-08-21;846,03;830,18;837,07;842,44;125602316
2008-08-22;865,26;837,81;865,02;837,81;157524803
2008-08-25;865,64;850,44;852,2;865,02;53805651
2008-08-26;861,49;844,38;860,71;852,2;107999984
2008-08-27;862,95;847,25;862,93;860,71;119932599
2008-08-28;878,92;855,06;876,74;862,93;129610233
2008-08-29;881,61;868,82;870,86;876,74;137738023
2008-09-01;873,41;858,32;873,41;870,86;81817625
2008-09-02;893,84;864,33;889,36;873,41;217228210
2008-09-03;888,62;876,11;880,75;888,62;125914695
2008-09-04;883,64;850,18;850,53;880,75;194285956
2008-09-05;849,86;823,12;825,01;849,86;212139896
2008-09-08;869,13;828,34;855,95;828,34;178137043
2008-09-09;866,57;842,52;846,6;855,95;175142169
2008-09-10;850,78;835,86;840,33;846,6;170364684
2008-09-11;841,62;819,06;827,66;840,33;162561065
2008-09-12;849,58;828,64;847,79;828,64;140547786
2008-09-15;846,06;807,17;822,6;846,06;198870139
2008-09-16;822,6;796,08;808,91;822,6;279128968
2008-09-17;823,16;776,35;779,37;808,91;210325741
2008-09-18;797,34;772,39;781,53;779,37;271043302
2008-09-19;859,17;786,0;851,72;786,0;319234090
2008-09-22;858,93;835,79;836,43;851,72;156250322
2008-09-23;836,18;808,76;821,11;836,18;197381575
2008-09-24;824,73;812,83;816,7;821,11;178681560
2008-09-25;837,57;813,45;836,86;816,7;170037109
2008-09-26;835,99;811,27;821,38;835,99;148324774
2008-09-29;821,99;771,91;774,33;821,38;195856265
2008-09-30;785,19;748,78;768,49;774,33;257066720
2008-10-01;783,97;764,38;769,33;768,49;210521469
2008-10-02;786,97;757,67;761,69;769,33;212642277
2008-10-03;784,43;753,29;780,39;761,69;185396389
2008-10-06;778,91;718,16;723,91;778,91;221117913
2008-10-07;740,52;704,86;707,21;723,91;222534699
2008-10-08;714,07;653,79;663,69;707,21;346070920
2008-10-09;693,02;655,6;659,07;663,69;235617568
2008-10-10;656,36;601,42;622,98;656,36;348123135
2008-10-13;679,79;626,8;675,85;626,8;197115538
2008-10-14;722,82;678,56;686,24;678,56;266993565
2008-10-15;691,39;643,78;647,03;686,24;223183418
2008-10-16;662,27;615,6;627,55;647,03;263125375
2008-10-17;656,91;619,38;632,34;627,55;206681334
2008-10-20;664,81;641,37;661,7;641,37;218549946
2008-10-21;683,09;662,3;666,8;662,3;214782074
2008-10-22;666,09;636,14;642,19;666,09;201378464
2008-10-23;646,16;616,91;631,19;642,19;219783194
2008-10-24;628,35;567,34;593,87;628,35;262751526
2008-10-27;594,12;556,77;575,71;593,87;199255864
2008-10-28;594,96;567,87;582,5;575,71;210247079
2008-10-29;619,04;585,09;615,67;585,09;228524897
2008-10-30;655,34;617,04;646,09;617,04;251872093
2008-10-31;648,91;634,81;638,91;646,09;87941683
2008-11-03;667,88;640,39;667,88;640,39;148791530
2008-11-04;716,55;667,69;713,67;667,88;193538181
2008-11-05;715,2;692,65;702,52;713,67;177350783
2008-11-06;699,31;655,63;658,02;699,31;219405131
2008-11-07;685,45;658,88;679,2;658,88;157418942
2008-11-10;708,3;680,92;684,71;680,92;140104115
2008-11-11;683,73;645,49;649,46;683,73;136857710
2008-11-12;661,94;623,59;630,26;649,46;179357403
2008-11-13;644,13;622,95;634,72;630,26;180979834
2008-11-14;658,22;630,18;635,59;634,72;152676757
2008-11-17;641,51;623,18;631,92;635,59;108691519
2008-11-18;633,58;608,91;627,37;631,92;144781449
2008-11-19;629,96;594,09;594,12;627,37;159725313
2008-11-20;592,7;571,91;587,71;592,7;190921061
2008-11-21;595,78;560,78;567,61;587,71;188222894
2008-11-24;629,7;567,12;626,46;567,61;197755743
2008-11-25;645,05;614,17;634,02;626,46;258695415
2008-11-26;638,88;617,28;628,86;634,02;192007819
2008-11-27;645,76;628,98;645,51;628,98;139648215
2008-11-28;648,03;628,59;641,74;645,51;160786836
2008-12-01;642,63;605,2;607,09;641,74;117367211
2008-12-02;636,64;591,24;636,64;607,09;169186787
2008-12-03;645,55;622,71;643,66;636,64;157215224
2008-12-04;664,54;633,59;640,39;643,66;178768564
2008-12-05;639,74;603,5;608,64;639,74;149741345
2008-12-08;669,59;611,36;666,65;611,36;180582168
2008-12-09;692,56;653,29;685,42;666,65;230001099
2008-12-10;688,63;672,07;688,33;685,42;173708022
2008-12-11;687,58;669,43;676,78;687,58;156099778
2008-12-12;673,57;646,17;659,8;673,57;142859470
2008-12-15;672,56;650,41;651,18;659,8;119412530
2008-12-16;667,02;649,32;667,0;651,18;134465823
2008-12-17;679,61;654,61;664,34;667,0;151976031
2008-12-18;677,06;664,72;672,26;664,72;142829484
2008-12-19;672,38;662,89;663,98;672,26;138924452
2008-12-22;664,83;650,62;655,63;663,98;108986062
2008-12-23;661,6;649,92;659,18;655,63;87050263
2008-12-29;665,69;654,28;657,27;659,18;59024228
2008-12-30;666,93;657,52;662,33;657,52;101104972
2009-01-02;696,1;665,52;693,78;665,52;82136756
2009-01-05;704,51;690,25;693,76;693,78;52067745
2009-01-07;704,7;694,51;701,41;694,51;157104592
2009-01-08;700,15;684,42;695,95;700,15;140722745
2009-01-09;695,7;683,08;685,83;695,7;126054101
2009-01-12;684,95;666,01;667,97;684,95;112056371
2009-01-13;667,09;649,01;656,62;667,09;160421148
2009-01-14;662,58;619,01;622,59;656,62;204711867
2009-01-15;634,01;611,39;620,32;622,59;191447328
2009-01-16;636,8;621,2;628,69;621,2;137790326
2009-01-19;638,61;614,1;621,8;628,69;151377758
2009-01-20;627,42;595,0;597,76;621,8;198244519
2009-01-21;620,49;591,54;615,11;597,76;288030528
2009-01-22;628,03;606,19;608,73;615,11;189449947
2009-01-23;610,54;591,31;604,12;608,73;173789024
2009-01-26;625,2;600,05;623,25;604,12;169907289
2009-01-27;625,0;610,53;624,05;623,25;179327960
2009-01-28;643,3;625,05;639,29;625,05;193605797
2009-01-29;639,42;614,25;616,1;639,29;165527335
2009-01-30;627,61;613,16;617,38;616,1;179432631
2009-02-02;617,5;595,62;602,08;617,376;152123452
2009-02-03;623,64;597,7;622,74;602,079;193608851
2009-02-04;649,28;620,67;644,71;622,737;243033251
2009-02-05;644,0;627,68;643,2;644,0;207509972
2009-02-06;673,65;642,45;670,54;643,199;239748461
2009-02-09;690,51;663,79;688,42;670,536;229058489
2009-02-10;687,13;672,78;676,48;687,13;200041482
2009-02-11;684,23;665,34;676,35;676,476;167024802
2009-02-12;676,06;657,99;672,86;676,06;198884856
2009-02-13;685,48;673,36;677,7;673,36;189016784
2009-02-16;686,66;671,87;681,61;677,7;124512926
2009-02-17;680,73;645,36;647,84;680,73;196849672
2009-02-18;655,74;636,07;653,24;647,837;215757301
2009-02-19;663,79;646,11;662,45;653,244;182275594
2009-02-20;661,19;635,93;636,14;661,19;194199147
2009-02-23;646,82;617,8;619,13;636,144;194199147
2009-02-24;629,11;608,57;617,95;619,127;204319106
2009-02-25;633,7;615,88;617,4;617,946;160496507
2009-02-26;646,4;618,53;643,94;618,53;177949166
2009-02-27;643,06;629,7;640,39;643,06;185341585
2009-03-02;638,63;615,37;619,27;638,63;149349138
2009-03-03;623,51;602,66;604,31;619,267;166105556
2009-03-04;630,23;604,68;630,23;604,68;194674969
2009-03-05;629,98;605,4;608,98;629,98;180615524
2009-03-06;617,34;602,68;607,45;608,983;184275696
2009-03-09;615,77;593,28;615,55;607,451;180158102
2009-03-10;651,39;609,17;650,61;615,551;208825793
2009-03-11;671,13;642,64;666,58;650,607;262868067
2009-03-12;669,81;649,31;667,65;666,585;201970382
2009-03-13;685,33;652,58;659,31;667,651;216587216
2009-03-16;675,89;660,16;675,89;660,16;167523036
2009-03-17;675,47;661,76;664,05;675,47;180084973
2009-03-18;675,57;655,66;662,76;664,046;187970522
2009-03-19;689,96;658,99;679,58;662,759;283965385
2009-03-20;675,07;657,18;661,59;675,07;315036876
2009-03-23;670,5;652,43;667,98;661,588;225064439
2009-03-24;678,4;652,19;654,12;667,982;234166620
2009-03-25;672,04;646,16;665,76;654,117;202062564
2009-03-26;667,03;655,83;667,03;665,76;175647760
2009-03-27;668,93;653,18;655,59;667,027;171143015
2009-03-30;654,0;629,69;633,09;654,0;149087946
2009-03-31;653,45;633,82;653,04;633,82;196950448
2009-04-01;679,73;641,02;679,51;653,05;243618836
2009-04-02;716,58;678,58;713,8;679,51;261864898
2009-04-03;726,98;700,82;711,16;713,8;261925597
2009-04-06;727,87;704,12;709,57;711,16;197108593
2009-04-07;714,03;695,7;702,18;709,57;163272150
2009-04-08;709,16;689,78;707,32;702,18;175729713
2009-04-09;718,13;707,68;717,66;707,68;67144890
2009-04-14;751,74;717,17;744,16;717,66;222948358
2009-04-15;743,19;725,98;729,63;743,19;162175413
2009-04-16;748,61;726,82;745,55;729,63;184891021
2009-04-17;771,44;747,01;767,75;747,01;234579299
2009-04-20;770,99;727,71;731,1;767,75;242645317
2009-04-21;744,13;715,27;741,44;731,1;251972443
2009-04-22;770,45;739,56;768,11;741,44;285312456
2009-04-23;774,95;751,55;772,79;768,11;253056548
2009-04-24;781,84;756,65;779,16;772,79;213541817
2009-04-27;784,42;762,88;782,65;779,16;178629973
2009-04-28;781,92;745,35;751,28;781,92;236014337
2009-04-29;771,02;751,4;768,8;751,4;203565543
2009-04-30;779,4;763,89;763,89;768,795;182644694
2009-05-04;781,09;760,84;779,5;763,887;185719579
2009-05-05;785,11;771,0;783,03;779,5;213890534
2009-05-06;801,33;779,39;799,42;783,027;202938566
2009-05-07;816,35;788,95;792,47;799,416;250096359
2009-05-08;813,53;792,1;802,03;792,47;214808885
2009-05-11;804,18;774,68;783,39;802,03;175718351
2009-05-12;794,52;769,34;769,34;783,385;177012319
2009-05-13;775,78;744,08;748,1;769,339;211196879
2009-05-14;758,46;734,12;757,66;748,1;181042099
2009-05-15;766,42;749,88;764,77;757,66;149044754
2009-05-18;780,72;751,05;779,89;764,77;150257208
2009-05-19;799,08;780,13;789,19;780,13;184151529
2009-05-20;789,48;778,71;783,72;789,188;83407720
2009-05-22;781,89;758,82;769,4;781,89;116414519
2009-05-25;774,33;758,19;770,24;769,404;59763680
2009-05-26;775,74;752,81;773,7;770,235;165371135
2009-05-27;782,1;769,17;773,68;773,7;163640950
2009-05-28;773,45;762,61;771,82;773,45;143926418
2009-05-29;783,71;771,54;776,5;771,822;172150712
2009-06-01;802,92;777,34;801,57;777,34;132535210
2009-06-02;801,08;788,06;795,25;801,08;150402540
2009-06-03;797,27;765,12;770,61;795,25;201747099
2009-06-04;777,78;761,03;768,57;770,61;184993782
2009-06-05;782,59;769,54;770,48;769,54;136455784
2009-06-08;771,77;755,53;770,32;770,481;145792826
2009-06-09;774,18;760,43;769,67;770,318;165157309
2009-06-10;793,22;769,55;787,11;769,67;202009019
2009-06-11;808,43;786,06;805,85;787,11;188408864
2009-06-12;810,03;797,58;799,65;805,846;143675426
2009-06-15;799,89;782,92;784,49;799,652;130440053
2009-06-16;795,96;779,02;789,22;784,49;145309525
2009-06-17;788,73;768,2;773,99;788,73;247749324
2009-06-18;780,4;767,83;778,09;773,991;149326490
2009-06-22;780,41;752,3;754,52;778,094;153269743
2009-06-23;761,82;749,07;753,94;754,517;151380776
2009-06-24;783,48;754,54;783,48;754,54;133510572
2009-06-25;784,64;769,52;779,12;783,479;110367198
2009-06-26;792,07;779,36;786,82;779,36;106038464
2009-06-29;806,44;784,96;804,33;786,82;94426296
2009-06-30;805,64;793,05;795,8;804,33;133835710
2009-07-01;814,73;795,8;813,7;795,8;120998244
2009-07-02;812,98;791,03;792,45;812,98;116113825
2009-07-03;796,91;788,15;790,45;792,454;59540747
2009-07-06;790,45;774,82;783,34;790,449;76724958
2009-07-07;793,4;782,15;784,56;783,337;81208234
2009-07-08;786,07;777,0;777,48;784,564;98718959
2009-07-09;787,84;774,74;777,98;777,477;81334246
2009-07-10;779,28;770,24;774,12;777,98;78975173
2009-07-13;789,76;766,71;785,99;774,123;88278013
2009-07-14;795,86;786,59;794,3;786,59;102335609
2009-07-15;820,93;794,35;820,93;794,35;127663272
2009-07-16;827,77;819,88;823,33;820,93;124507626
2009-07-17;844,13;824,06;842,15;824,06;135141077
2009-07-19;842,15;842,15;842,15;842,15;135141077
2009-07-20;852,31;838,26;843,48;842,154;130160896
2009-07-21;854,26;842,86;852,26;843,479;143557234
2009-07-22;853,38;841,71;852,9;852,26;115546334
2009-07-23;874,48;848,57;871,89;852,9;135397370
2009-07-24;874,42;859,88;870,98;871,89;179230903
2009-07-25;870,98;870,98;870,98;870,98;179230903
2009-07-27;877,4;849,93;854,62;870,981;114844187
2009-07-28;862,88;849,18;852,51;854,62;95436379
2009-07-29;859,51;851,4;858,05;852,505;92728015
2009-07-30;880,29;857,46;879,2;858,054;107276224
2009-07-31;884,12;871,08;882,05;879,2;103482542
2009-08-03;896,81;877,5;895,14;882,047;103122487
2009-08-04;894,54;876,86;879,45;894,54;93374841
2009-08-05;888,57;871,88;874,46;879,45;110357485
2009-08-06;884,51;869,27;873,88;874,455;110535105
2009-08-07;893,96;864,08;892,19;873,885;122359209
2009-08-10;892,19;880,5;883,14;892,19;87208882
2009-08-11;890,8;861,74;864,03;883,136;152174394
2009-08-12;877,41;859,27;876,71;864,027;111096523
2009-08-13;898,16;876,95;888,87;876,95;127838083
2009-08-14;894,29;871,08;876,74;888,872;96392506
2009-08-17;876,74;853,26;858,15;876,74;123778158
2009-08-18;876,58;858,63;873,1;858,63;129146646
2009-08-19;872,74;857,37;869,23;872,74;122788231
2009-08-20;889,07;869,72;886,46;869,72;143715761
2009-08-21;917,18;884,08;913,84;886,46;173241958
2009-08-24;925,03;912,4;921,63;913,843;133870440
2009-08-25;921,03;908,97;916,06;921,03;136771786
2009-08-26;921,41;901,6;902,79;916,06;128817943
2009-08-27;909,18;894,9;901,95;902,79;122655789
2009-08-28;923,28;902,31;919,91;902,31;154029035
2009-08-31;919,67;901,72;904,84;919,67;91446944
2009-09-01;911,18;884,76;888,5;904,844;144660241
2009-09-02;889,3;867,88;873,35;888,5;183597056
2009-09-03;888,19;871,84;879,28;873,352;141468004
2009-09-04;893,48;879,16;891,39;879,284;130779533
2009-09-07;903,75;892,35;903,62;892,35;83024494
2009-09-08;908,86;900,67;905,68;903,624;133266818
2009-09-09;921,75;901,0;921,48;905,681;146836001
2009-09-10;926,68;909,54;916,53;921,48;143517420
2009-09-11;921,15;913,4;918,19;916,528;104163422
2009-09-14;917,22;901,16;914,31;917,22;101440847
2009-09-15;919,99;909,27;913,07;914,31;121683092
2009-09-16;925,27;913,55;918,44;913,55;124532140
2009-09-17;929,59;918,95;923,82;918,95;134470308
2009-09-18;923,47;909,23;920,23;923,47;116464015
2009-09-21;920,26;910,5;913,05;913,92;97833717
2009-09-22;923,73;912,93;922,24;913,05;112636145
2009-09-23;928,94;920,15;922,99;922,24;132365126
2009-09-24;922,75;900,07;901,87;922,75;136665688
2009-09-25;907,64;895,76;899,87;901,87;104050217
2009-09-28;917,23;889,37;913,55;899,87;122492740
2009-09-29;917,64;902,22;902,82;913,546;113394486
2009-09-30;912,33;892,54;896,76;902,816;149331427
2009-10-01;902,51;877,01;878,33;896,76;139467735
2009-10-02;877,61;859,88;867,84;877,61;153808853
2009-10-05;881,83;865,69;876,43;867,837;102581088
2009-10-06;894,68;876,66;891,88;876,66;141614746
2009-10-07;895,57;882,78;885,43;891,881;121965150
2009-10-08;897,16;886,03;895,35;886,03;123796412
2009-10-09;903,97;892,93;899,7;895,35;112848787
2009-10-12;915,04;899,64;910,79;899,7;105733719
2009-10-13;912,93;900,59;903,03;910,79;108220774
2009-10-14;929,54;903,2;928,59;903,2;179971398
2009-10-15;935,98;926,13;927,05;928,59;136989731
2009-10-16;938,63;927,12;927,76;927,12;134703238
2009-10-19;945,51;927,4;941,67;927,76;113281950
2009-10-20;950,89;938,18;942,67;941,665;158175173
2009-10-21;946,09;926,31;940,22;942,67;153317944
2009-10-22;933,62;920,33;927,47;933,62;196789847
2009-10-23;942,87;930,23;932,29;930,23;167579221
2009-10-26;940,12;915,79;918,24;932,291;144780407
2009-10-27;934,4;918,22;929,54;918,236;146673502
2009-10-28;936,41;916,15;924,27;929,537;222411411
2009-10-29;939,87;915,65;939,82;924,272;176558308
2009-10-30;949,49;938,99;944,67;939,819;117734453
